departamento,provincia,distrito,latitud,longitud,ubigeo
AMAZONAS,BAGUA,ARAMANGO,-5.416388888888889,-78.43777777777778,010202
AMAZONAS,BAGUA,BAGUA,-5.638888888888888,-78.53111111111112,010201
AMAZONAS,BAGUA,COPALLIN,-5.675000000000001,-78.42305555555556,010203
AMAZONAS,BAGUA,EL PARCO,-5.625000000000001,-78.47527777777778,010204
AMAZONAS,BAGUA,IMAZA,-5.163611111111112,-78.28888888888889,010205
AMAZONAS,BAGUA,LA PECA,-5.611944444444444,-78.43694444444445,010206
AMAZONAS,BONGARA,CHISQUILLA,-5.8975,-77.78611111111111,010302
AMAZONAS,BONGARA,CHURUJA,-6.019444444444445,-77.95194444444445,010303
AMAZONAS,BONGARA,COROSHA,-5.843333333333333,-77.82249999999999,010304
AMAZONAS,BONGARA,CUISPES,-5.928333333333334,-77.94611111111111,010305
AMAZONAS,BONGARA,FLORIDA,-5.826111111111111,-77.96944444444445,010306
AMAZONAS,BONGARA,JAZAN,-5.9413888888888895,-77.97722222222222,010307
AMAZONAS,BONGARA,JUMBILLA,-5.904444444444445,-77.79777777777778,010301
AMAZONAS,BONGARA,RECTA,-5.917777777777778,-77.78888888888889,010308
AMAZONAS,BONGARA,SAN CARLOS,-5.966111111111111,-77.94527777777778,010309
AMAZONAS,BONGARA,SHIPASBAMBA,-5.910555555555556,-77.98055555555555,010310
AMAZONAS,BONGARA,VALERA,-6.042777777777777,-77.91916666666667,010311
AMAZONAS,BONGARA,YAMBRASBAMBA,-5.735277777777778,-77.92500000000001,010312
AMAZONAS,CHACHAPOYAS,ASUNCION,-6.0325,-77.71083333333334,010102
AMAZONAS,CHACHAPOYAS,BALSAS,-6.835833333333333,-78.01972222222223,010103
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.229444444444445,-77.87277777777777,010101
AMAZONAS,CHACHAPOYAS,CHETO,-6.2555555555555555,-77.70083333333334,010104
AMAZONAS,CHACHAPOYAS,CHILIQUIN,-6.078333333333333,-77.7375,010105
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,-6.9350000000000005,-77.85416666666666,010106
AMAZONAS,CHACHAPOYAS,GRANADA,-6.106388888888889,-77.6286111111111,010107
AMAZONAS,CHACHAPOYAS,HUANCAS,-6.173611111111112,-77.86444444444444,010108
AMAZONAS,CHACHAPOYAS,LA JALCA,-6.4847222222222225,-77.815,010109
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-6.7075000000000005,-77.80388888888889,010110
AMAZONAS,CHACHAPOYAS,LEVANTO,-6.307777777777778,-77.89916666666667,010111
AMAZONAS,CHACHAPOYAS,MAGDALENA,-6.373055555555555,-77.90166666666667,010112
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.594444444444444,-77.8086111111111,010113
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-6.2091666666666665,-77.66916666666667,010114
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-6.618055555555556,-77.80222222222221,010115
AMAZONAS,CHACHAPOYAS,OLLEROS,-6.023888888888889,-77.6763888888889,010116
AMAZONAS,CHACHAPOYAS,QUINJALCA,-6.091388888888889,-77.67861111111111,010117
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,-6.229166666666667,-77.74,010118
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,-6.337222222222222,-77.88055555555555,010119
AMAZONAS,CHACHAPOYAS,SOLOCO,-6.260555555555555,-77.74416666666667,010120
AMAZONAS,CHACHAPOYAS,SONCHE,-6.218888888888889,-77.77527777777777,010121
AMAZONAS,CONDORCANQUI,EL CENEPA,-4.455555555555556,-78.1588888888889,010402
AMAZONAS,CONDORCANQUI,NIEVA,-4.5922222222222215,-77.86444444444444,010401
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.015833333333333,-77.76083333333334,010403
AMAZONAS,LUYA,CAMPORREDONDO,-6.213333333333334,-78.32,010502
AMAZONAS,LUYA,COCABAMBA,-6.614166666666667,-78.005,010503
AMAZONAS,LUYA,COLCAMAR,-6.299444444444444,-77.97305555555556,010504
AMAZONAS,LUYA,CONILA,-6.159166666666667,-78.14194444444445,010505
AMAZONAS,LUYA,INGUILPATA,-6.239444444444445,-77.9538888888889,010506
AMAZONAS,LUYA,LAMUD,-6.139166666666667,-77.95222222222222,010501
AMAZONAS,LUYA,LONGUITA,-6.413611111111112,-77.96833333333333,010507
AMAZONAS,LUYA,LONYA CHICO,-6.229722222222223,-77.955,010508
AMAZONAS,LUYA,LUYA,-6.1641666666666675,-77.94416666666667,010509
AMAZONAS,LUYA,LUYA VIEJO,-6.1274999999999995,-78.085,010510
AMAZONAS,LUYA,MARIA,-6.428888888888889,-77.96083333333334,010511
AMAZONAS,LUYA,OCALLI,-6.235277777777778,-78.26638888888888,010512
AMAZONAS,LUYA,OCUMAL,-6.2825,-78.21083333333334,010513
AMAZONAS,LUYA,PISUQUIA,-6.453333333333333,-78.09194444444444,010514
AMAZONAS,LUYA,PROVIDENCIA,-6.2972222222222225,-78.24083333333333,010515
AMAZONAS,LUYA,SAN CRISTOBAL,-6.101666666666667,-77.95972222222223,010516
AMAZONAS,LUYA,SAN FRANCISCO DE YESO,-6.646944444444444,-77.81166666666667,010517
AMAZONAS,LUYA,SAN JERONIMO,-6.059722222222222,-77.97444444444444,010518
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,-6.496388888888889,-77.86194444444443,010519
AMAZONAS,LUYA,SANTA CATALINA,-6.113611111111111,-78.06083333333333,010520
AMAZONAS,LUYA,SANTO TOMAS,-6.5725,-77.86583333333333,010521
AMAZONAS,LUYA,TINGO,-6.379722222222222,-77.90583333333333,010522
AMAZONAS,LUYA,TRITA,-6.151944444444445,-77.98083333333334,010523
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,-6.523055555555556,-77.44250000000001,010602
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,-6.407500000000001,-77.58527777777778,010603
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,-6.431111111111111,-77.53666666666666,010604
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,-6.498055555555555,-77.49888888888889,010605
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,-6.385833333333334,-77.54666666666667,010606
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,-6.386111111111112,-77.50444444444445,010607
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,-6.5,-77.4363888888889,010608
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,-6.467777777777778,-77.39555555555556,010609
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,-6.395277777777778,-77.48222222222222,010601
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,-6.453611111111111,-77.45527777777778,010610
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,-6.493055555555555,-77.47166666666666,010611
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.150833333333334,-77.30388888888889,010612
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.754722222222222,-78.44277777777778,010701
AMAZONAS,UTCUBAMBA,CAJARURO,-5.7363888888888885,-78.42666666666668,010702
AMAZONAS,UTCUBAMBA,CUMBA,-5.935555555555556,-78.66361111111112,010703
AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.637777777777777,-78.55833333333334,010704
AMAZONAS,UTCUBAMBA,JAMALCA,-5.894166666666666,-78.23777777777778,010705
AMAZONAS,UTCUBAMBA,LONYA GRANDE,-6.096388888888889,-78.4225,010706
AMAZONAS,UTCUBAMBA,YAMON,-6.050833333333333,-78.52888888888889,010707
CAJAMARCA,CAJABAMBA,CACHACHI,-7.448888888888889,-78.26888888888888,060202
CAJAMARCA,CAJABAMBA,CAJABAMBA,-7.623055555555556,-78.0461111111111,060201
CAJAMARCA,CAJABAMBA,CONDEBAMBA,-7.573611111111111,-78.06972222222223,060203
CAJAMARCA,CAJABAMBA,SITACOCHA,-7.519444444444445,-77.96944444444445,060204
CAJAMARCA,CAJAMARCA,ASUNCION,-7.324722222222222,-78.51861111111111,060102
CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.154722222222222,-78.51083333333334,060101
CAJAMARCA,CAJAMARCA,CHETILLA,-7.146944444444445,-78.67333333333333,060103
CAJAMARCA,CAJAMARCA,COSPAN,-7.427222222222222,-78.54222222222222,060104
CAJAMARCA,CAJAMARCA,ENCAÑADA,-7.086944444444444,-78.34444444444443,060105
CAJAMARCA,CAJAMARCA,JESUS,-7.248611111111111,-78.37916666666666,060106
CAJAMARCA,CAJAMARCA,LLACANORA,-7.193611111111111,-78.42666666666668,060107
CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,-7.163611111111112,-78.46444444444445,060108
CAJAMARCA,CAJAMARCA,MAGDALENA,-7.2508333333333335,-78.65972222222223,060109
CAJAMARCA,CAJAMARCA,MATARA,-7.254722222222222,-78.25972222222222,060110
